grupo;Z-score Geral;Z-score_Icms;Z-score_Empresas;Z-score_Empregos;_QuocienteLocacional;_EmpresasRS;;;;
OUTRAS ATIVIDADES DE TELECOMUNICAÇÕES;4.528.642.747.927.360;0.272682310827956;38.485.817.552.644.300;9.464.186.602.748.640;0.9237054277739898;2081;;;;
APARELHAMENTO DE PEDRAS E FABRICAÇÃO DE OUTROS PRODUTOS DE MINERAIS NÃO METÁLICOS;4.458.722.323.132.480;0.18212608666289343;3.245.223.286.127.170;9.136.773.277.328.540;10.867.764.944.896.000;1756;;;;
COMÉRCIO ATACADISTA NÃO ESPECIALIZADO;42.379.970.724.194.600;0.7372580055483424;22.482.894.463.526.900;18.005.120.965.859.800;10.513.589.249.432.500;1219;;;;
ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS;39.747.088.595.681.600;-0.18556924859806395;3.228.514.897.751.060;4.683.084.731.547.770;10.918.200.543.936.200;1747;;;;
OBRAS DE INFRAESTRUTURA PARA ENERGIA ELÉTRICA; TELECOMUNICAÇÕES; ÁGUA; ESGOTO E TRANSPORTE POR DUTOS;3.697.674.685.003.200;-0.16709538529667256;1.349.749.449.237.510;2.166.521.165.002.630;1.146.778.062.702.400;735;
ATIVIDADES DE ASSOCIAÇÕES DE DEFESA DE DIREITOS SOCIAIS;3.675.600.253.471.640;-0.18463886463478346;-0.14768934811361054;3.708.833.074.746.480;;;;;;
CONSTRUÇÃO DE OUTRAS OBRAS DE INFRAESTRUTURA;3.669.017.074.394.520;-0.17149131703883838;2.162.891.016.874.800;1.427.347.637.613.800;1.044.351.541.923;1173;;;;
OUTROS TIPOS DE ALOJAMENTO NÃO ESPECIFICADOS ANTERIORMENTE;3.627.453.811.168.610;-0.18429404170398672;3.427.159.070.667.020;2.046.431.726.840.160;10.041.086.426.680.600;1854;;;;
LATICÍNIOS;3.617.827.892.007.400;14.070.178.016.386.400;13.980.181.267.684.900;22.820.915.639.754.200;0.8548061895523641;761;;;;
FABRICAÇÃO DE PRODUTOS DE BORRACHA;3.499.160.816.017.390;1.292.696.223.527.910;8.911.970.126.931.980;2.197.744.687.426.800;1.315.249.590.767.330;488;;;;
ATIVIDADES DE TELEATENDIMENTO;3.412.040.808.283.590;-0.18562142497639111;5.124.735.428.347.340;29.408.211.551.186.500;0.9557211343113566;284;;;;
FABRICAÇÃO DE CABINES; CARROCERIAS E REBOQUES PARA VEÍCULOS AUTOMOTORES;3.358.808.798.607.410;0.051833195334925294;6.795.574.265.958.210;17.302.591.711.316.000;23.888.581.662.250.500;374;;;
